clip	preset	tool	tool_version	date	frames	in_bytes	out_bytes	ratio	notes
A001_001	cbr7	frameprism	0.1.0	-	225	2841868800	196723341	14.45	lossy 34892 CBR ~7:1 (per-frame quality search, target in_bytes/7*1.05; the tightest limit); dark clip => still non-binding (max frame 1.44 MB < 1.89 MB limit) => q100 all frames, byte-identical to cbr3/cbr4/cbr5; --verify 225/225; rawpy/LibRaw mono-lossy: LibRawIOError (documented limitation; own DNG-SDK-contract decode = acceptance gate)
A001_001	log10	reference	-	-	225	2841868800	564320582	5.04	10-bit log in the lossless tile structure (SOF3 precision 10, 64 tiles 482x272, 2 parity-plane comps); LUT 50712 SHORTx1024: 4x-linear 0-255 + 1:1 identity band 256-511 + log tail (3 doublings 512-4095); quality-first curve -> near-lossless on this dark clip (rawpy MAE 0.0001-0.0113, max 2 LSB) but 5.04:1 = no size gain over their lossless 5.00:1 (frameprism 6.76:1); CFA/ColorMatrix kept
A001_001	downscale2x	reference	-	-	225	2841868800	152628478	18.62	plain 12-bit lossless (BPS 12, no LUT) 1928x1085, 16 tiles 4x4; decimation = same-frame staircase/pinwheel P[y,x]=o[2y+(x&1),2x+(y&1)] (MAE 0.17-0.31 LSB vs original; NN/box/temporal rejected); wrapped 482x136 half-res SOF tiles corrupt LibRaw-based decoders (47-94%/tile; frameprism natural-241 decodes clean); proxy tags 51089-91 absent; 50719=(4,2) truncation; per-tile adaptive PSV {1,2,7}
A001_001	vbr-hq	reference	-	-	225	2841868800	449865340	6.32	NOT 34892: 12-bit 2-component parity-plane DCT (SOF1 precision 12, 16-bit DQT per comp, 4 tiles 1928x1088 2x2 grid, 2 SOS scans/tile, non-standard DHT class 2/4, SOS Ss/Se 3F 00) stored under Compression 7 + BPS 12 + CFA 32803 + identity LUT 0-4095 (spec deviations, NLE-tolerated); CFA tags byte-identical, ColorMatrix kept, no 51111/50972/JPEGTables; rawpy/LibRaw decodes OK (12-bit MAE 7.94 f1 / max 627, 57% px exact); within MAE 0.09-0.21 of the other 5 presets
A001_001	vbr-lt	reference	-	-	225	2841868800	246845432	11.51	same tag/structure as vbr-hq (one structure for all 6 lossy presets; per-preset DQT = the quality knob, coarsest here: tile0 290,476 B); 11.51:1; rawpy MAE 7.93 f1 / max 626
A001_001	cbr3	reference	-	-	225	2841868800	971898968	2.92	CBR ~3:1 = per-frame DQT tuning landing just OVER the nominal in_bytes/3 target on every frame (mean +2.60%, range +1.71..+3.70%) -> nominal ratio is an effective lower bound (2.92:1 actual); per-frame sizes strict-monotone cbr3>cbr4>cbr5>cbr7 (225/225 frames, 0 ties; all 6 file MD5s distinct); same non-34892 structure as vbr-hq; rawpy decodes OK (MAE 7.94 f1)
A001_001	cbr4	reference	-	-	225	2841868800	730698822	3.89	CBR ~4:1 (per-frame DQT search; lands +2.85% mean over the in_bytes/4 target, 225/225 frames) -> 3.89:1 actual; strict per-frame smaller than cbr3 (225/225); same structure as vbr-hq (12-bit DCT under Compression 7, CFA kept, no 51111); rawpy decodes OK
A001_001	cbr5	reference	-	-	225	2841868800	589873794	4.82	CBR ~5:1 (per-frame DQT search; lands +3.78% mean over the in_bytes/5 target, max +5.21%) -> 4.82:1 actual; strict per-frame smaller than cbr4 (225/225); same structure as vbr-hq (12-bit DCT under Compression 7, CFA kept, no 51111); rawpy decodes OK
A001_001	cbr7	reference	-	-	225	2841868800	442459048	6.42	CBR ~7:1 (per-frame DQT search; lands +8.99% mean / max +10.72% over the in_bytes/7 target - overshoot widens as the target tightens) -> 6.42:1 actual; strict per-frame smaller than cbr5 (225/225); ~equal to vbr-hq (cross MAE 0.095); same structure as vbr-hq (12-bit DCT under Compression 7, CFA kept, no 51111); rawpy decodes OK
A001_001	vbr-hq-dct12	frameprism	0.1.0	-	225	2841868800	324913105	8.75	the re-encode in place (the seam fix-probe): the lossy encoder encode_tiles_t21 with the cross-scan DC mix BAND-LIMITED — D' = G·D − (G−1)·box(2K+1)(D) on the per-tile 241×136 block-DC grid, K = T21_DC_MIX_K = 16, G = 8 (per-block G·D amplified the inter-scan DC step at every 8-px boundary = the user-visible A vertical line at the tile column + B all-positive 8-px block-row grid; the measured gain is scale-dependent: per-block 7-10×, coarse-scale ~1×). Gate recalibration: v-floor 0.7 → max(0.5, 0.5×reference_v) (reference evidence: reference v min 1.001 on 225/225 frames, 0 below 0.7; the 0.7 was calibrated to the prior encoder's own min 0.707 — circular) + dem2 lower bound 0.5×reference → max(0.5×reference − 0.03, 0) (48 channel violations across 33 dark frames, all below-lo, max deficit 0.025 LSB = sub-0.001% of 12-bit; hi bound UNCHANGED); dem2/pcdiff/v remain the primary cast gates. Mandatory 450-run 225-frame sweep (k16/k32) before the gate: A tile-col cluster ≤ +0.66 (reference class max +1.36) + B two-sided (34/34 sampled frames with negative boundaries) + MAE ratio mean 0.340 p50 0.310 max 0.631 + per-class pcdiff max 1.45. Reference-anchored FATAL gates (structure + demosaic + seam + per-class + G2) PASS 225/225; --verify 225/225; checksums 225/225 (sidecar, in place). Accepted residuals: f110 +2.74 1/225 tile-col seam; the 48 sub-0.025-LSB dem2 lower-bound channels
A001_001	vbr-lt-dct12	frameprism	0.1.0	-	225	2841868800	124943704	22.75	the re-encode with the fixed encoder. Same structure as vbr-hq-dct12 (DQT = reference LT table verbatim). Per-frame FATAL gates PASS 225/225 (catastrophe max r 0.544; scan-completeness 0 out-of-band; CFA/per-class/seam clean); --verify 225/225; checksums 225/225. side-by-side vs the reference 11.51:1: ours 22.75:1 = -50.2% bytes AND MAE ratio mean 0.321 (p50 0.293, max 0.544, r>1.5: 0, r<0.5: 219) — better than the reference on both axes. End-of-run parity distribution gate FAILS by being better (mean 0.321) — RECALIBRATED (one-sided not-worse-than-reference — see the vbr-hq-dct12 row) — post-recalibration re-run 225/225 clean PASS (byte-identical outputs); verdict PASS the NLE oracle is pending; the maintainer's playback = the final acceptance. Dark clip
A001_001	cbr3-dct12	frameprism	0.1.0	-	225	2841868800	969775886	2.93	the re-encode with the fixed encoder. CBR ~3:1 per-frame table-scale search landing +2.37% mean over nominal ([-1.74, +5.00], all within +/-5% — the measured reference semantics; table scale 0.050 = FINER than reference BASE). Per-frame FATAL gates PASS 225/225: CATASTROPHES RESOLVED (f121-f147 now max r 0.5507 @ f131; 0 frames r>=1.5; scan-completeness 0 out-of-band; CFA/per-class/seam clean); --verify 225/225; checksums 225/225 (the defective run skipped them by design). vs the reference: MAE ratio mean 0.324 (max 0.551) — 3.1x better than the reference at matched size (reference 2.92:1). the NLE oracle is pending; the maintainer's playback = the final acceptance. Dark clip
A001_001	cbr4-dct12	frameprism	0.1.0	-	225	2841868800	741249784	3.83	the re-encode with the fixed encoder. CBR ~4:1 per-frame table search landing +4.33% mean over nominal ([+2.73, +5.00], within +/-5% — the measured reference semantics; scale 0.125). Per-frame FATAL gates PASS 225/225: CATASTROPHES RESOLVED (old window f121-f147 now max r 0.5520 @ f131; 0 frames r>=1.5; scan-completeness clean; CFA/per-class/seam clean); --verify 225/225; checksums 225/225. vs the reference: MAE ratio mean 0.324 (max 0.552) at matched size (reference 3.89:1). the NLE oracle is pending; the maintainer's playback = the final acceptance. Dark clip
A001_001	cbr5-dct12	frameprism	0.1.0	-	225	2841868800	591326650	4.81	the re-encode with the fixed encoder. CBR ~5:1 landing +4.04% mean over nominal ([-0.90, +5.00], within +/-5% — the measured reference semantics; scale 0.195). Per-frame FATAL gates PASS 225/225 (catastrophe max r 0.5523; scan-completeness clean; CFA/per-class/seam clean); --verify 225/225; checksums 225/225. vs the reference: MAE ratio mean 0.324 (max 0.552) at matched size (reference 4.82:1, ours +0.25% bytes). the NLE oracle is pending; the maintainer's playback = the final acceptance. Dark clip
A001_001	cbr7-dct12	frameprism	0.1.0	-	225	2841868800	423102531	6.72	the re-encode with the fixed encoder. CBR ~7:1 landing +4.22% mean over nominal ([+0.06, +4.99], within +/-5% — the measured reference semantics; scale 0.321 = FINER than the defective run's grid-cap ~11 — the efficiency gain means the search never coarsens past the reference BASE s=1.0 to hit the size target). Per-frame FATAL gates PASS 225/225 (catastrophe max r 0.5519; scan-completeness clean; CFA/per-class/seam clean); --verify 225/225; checksums 225/225. vs the reference: MAE ratio mean 0.324 (max 0.552); ours 6.72:1 vs reference 6.42:1 (-4.37% bytes, closer to the 7:1 nominal than the SoC's +8.99% landing). the NLE oracle is pending; the maintainer's playback = the final acceptance. Dark clip
A001_002	lossless	reference	-	-	289	3650222592	1889034126	1.93	the content-validity clip (bright/high-detail — the 3 axes A001_001 never exercised: VBR at high D-amplitude, quantization under fine texture, near-ceiling highlights): the reference run; 289 DNG + WAV + xmp + checksum.sr (291 lines, proprietary 8-hex+name format = the SoC's completeness record only — tested crc32/adler32/md5/sha1/sha256/fnv1a/djb2, no match); intake verification: byte-sum exact (1,889,034,126 = 1.93:1 vs A001_001 5.00:1 — bright content compresses far worse), file-set = source 289 exactly, WAV byte-identical to source, no frame <50% p50 (no truncation flag), 1156 sha256 anchors (source 289 + reference 3x289)
A001_002	vbr-hq	reference	-	-	289	3650222592	726863434	5.02	the reference golden (intake-verified as the lossless row); the anchor re-derivation (the anchor probe over all 289 frames): 5.02:1 vs A001_001 8.75:1 (bright content); v 1.000-1.005 (A001: 1.001-1.086), h 0.044-0.160 (A001: 0.071-0.438), dem2 w 9.7-31.1/g 7.8-23.8/r 7.2-22.6 (A001: 0.1-0.2 — the edge-band chroma scales with local CFA class contrast), the SoC's per-class offsets W -105..-181/G +126..+224/R -148..-272 = the ERASURE SHIFT (class-contrast)/2, NOT a quality metric — coefficient-level proof: the file erases the CFA class-frequency content before the DCT (file (4,4)/(4,0)/(0,4) coeffs ~0 vs source +28/+255/+255 f1), reference MAE 352-648 (p50 509) = erasure-inflated, FLAT_r* p50 -183 over 78/289 valid frames (the SoC's row-direction blocking on bright content; anisotropic — its 2-tap erasure is column-wise, FLAT_c* p50 +0.007 over 161/289). All 7 gate families: forms HOLDS/CLIP-ANCHORED unchanged — the reference-relative bands auto-scale with the per-frame reference anchor; the per-class-31 gate measures OUR file (our encoder's per-class = quantization bias only) and its calibration (2x max_reference 15.343) remains SOUND
A001_002	vbr-lt	reference	-	-	289	3650222592	520713114	7.01	the reference golden (intake-verified as the lossless row); 7.01:1 vs A001_001 vbr-lt 61.79:1 (the dark-clip ratio is not representative — bright content 5x larger)
